x(m)                     y(m)                     z(m)                     Magnetic_Potential       Magnetic_x(nT)           Magnetic_y(nT)           Magnetic_z(nT)           
39533000.0000000         3435100.0000000          100.0000000              5.95654006631288e-03     3.29934538508343e+01     -1.38171071279577e+02    7.09654586131458e+02     
39533100.0000000         3435100.0000000          100.0000000              5.95250000947867e-03     4.75005564834838e+01     -1.29805573543206e+02    7.00416230185919e+02     
39533200.0000000         3435100.0000000          100.0000000              5.94711733634727e-03     5.97028154596796e+01     -1.19755966306716e+02    6.89259121689489e+02     
39533300.0000000         3435100.0000000          100.0000000              5.94066197328596e-03     6.88514752767691e+01     -1.08445762027294e+02    6.76612979057839e+02     
39533400.0000000         3435100.0000000          100.0000000              5.93346325541457e-03     7.45245732464683e+01     -9.66951751875067e+01    6.63234389449867e+02     
39533500.0000000         3435100.0000000          100.0000000              5.92587202395705e-03     7.67723760276756e+01     -8.53416564239754e+01    6.50175021148797e+02     
39533600.0000000         3435100.0000000          100.0000000              5.91820332653499e-03     7.61853679630901e+01     -7.49523899234064e+01    6.38268736580286e+02     
39533700.0000000         3435100.0000000          100.0000000              5.91070314158389e-03     7.35607177844978e+01     -6.58136488225920e+01    6.28158057787741e+02     
39533800.0000000         3435100.0000000          100.0000000              5.90352659568581e-03     6.98714467943728e+01     -5.80651032817046e+01    6.20088682693682e+02     
39533900.0000000         3435100.0000000          100.0000000              5.89673666992249e-03     6.59289628436490e+01     -5.16586104780454e+01    6.13823866078028e+02     
39534000.0000000         3435100.0000000          100.0000000              5.89033678911140e-03     6.21001009312724e+01     -4.64029404516288e+01    6.08987657552348e+02     
39534100.0000000         3435100.0000000          100.0000000              5.88430769930802e-03     5.85350404831339e+01     -4.20910569767110e+01    6.05360045588225e+02     
39534200.0000000         3435100.0000000          100.0000000              5.87861704370469e-03     5.53501914041054e+01     -3.86304219891482e+01    6.02782633288623e+02     
39534300.0000000         3435100.0000000          100.0000000              5.87322223332334e-03     5.26313377378152e+01     -3.59262688556317e+01    6.01104854667103e+02     
39534400.0000000         3435100.0000000          100.0000000              5.86807264350993e-03     5.04511712496077e+01     -3.38409354434124e+01    6.00183744935805e+02     
39534500.0000000         3435100.0000000          100.0000000              5.86311197417468e-03     4.88733346629574e+01     -3.22344957337105e+01    5.99879056495754e+02     
39534600.0000000         3435100.0000000          100.0000000              5.85827921195626e-03     4.78555464439009e+01     -3.10019311444419e+01    5.99912408151183e+02     
39534700.0000000         3435100.0000000          100.0000000              5.85352712286403e-03     4.72539178374805e+01     -3.00661213997688e+01    6.00256242535658e+02     
39534800.0000000         3435100.0000000          100.0000000              5.84881516112442e-03     4.70463372107096e+01     -2.93672738757424e+01    6.00889261985186e+02     
39534900.0000000         3435100.0000000          100.0000000              5.84410457400847e-03     4.72418199529311e+01     -2.88190394752752e+01    6.01784810395622e+02     
39535000.0000000         3435100.0000000          100.0000000              5.83935263949108e-03     4.78529518771312e+01     -2.83695705854581e+01    6.02757120428592e+02     
39531000.0000000         3435200.0000000          100.0000000              5.80723612073053e-03     -7.36256717861316e+01    -1.21828480074055e+01    5.80825223109813e+02     
39531100.0000000         3435200.0000000          100.0000000              5.81475077763335e-03     -7.67764373770948e+01    -1.29860187327169e+01    5.81740560799159e+02     
39531200.0000000         3435200.0000000          100.0000000              5.82261322831250e-03     -8.05791908877431e+01    -1.42708525465614e+01    5.83283545104665e+02     
39531300.0000000         3435200.0000000          100.0000000              5.83088937796719e-03     -8.50759001400702e+01    -1.62124699625310e+01    5.85548466451810e+02     
39531400.0000000         3435200.0000000          100.0000000              5.83965671246256e-03     -9.04133927845100e+01    -1.90347445807547e+01    5.88785116407432e+02     
39531500.0000000         3435200.0000000          100.0000000              5.84900084381041e-03     -9.66117362177419e+01    -2.29490045403884e+01    5.93358689767660e+02     
39531600.0000000         3435200.0000000          100.0000000              5.85900228126398e-03     -1.03501580148222e+02    -2.81940385767468e+01    5.99744554372442e+02     
39531700.0000000         3435200.0000000          100.0000000              5.86971368758709e-03     -1.10758890604988e+02    -3.50342296639340e+01    6.08296252221729e+02     
39531800.0000000         3435200.0000000          100.0000000              5.88115130066926e-03     -1.17932155986515e+02    -4.37211391945270e+01    6.19402863656145e+02     
39531900.0000000         3435200.0000000          100.0000000              5.89327237059933e-03     -1.24242128171019e+02    -5.44498703516566e+01    6.33514958205665e+02     
39532000.0000000         3435200.0000000          100.0000000              5.90592841104745e-03     -1.28425741715618e+02    -6.72291952319308e+01    6.50673855928840e+02     
39532100.0000000         3435200.0000000          100.0000000              5.91884156751300e-03     -1.29104593885675e+02    -8.17214994280024e+01    6.70606187592857e+02     
39532200.0000000         3435200.0000000          100.0000000              5.93157613061654e-03     -1.24618234527601e+02    -9.73284532158323e+01    6.92103680554826e+02     
39532300.0000000         3435200.0000000          100.0000000              5.94357169847472e-03     -1.14382646309884e+02    -1.13036343121412e+02    7.12941248157107e+02     
39532400.0000000         3435200.0000000          100.0000000              5.95426562136131e-03     -9.85773605752935e+01    -1.27417801515658e+02    7.31664767746143e+02     
39532500.0000000         3435200.0000000          100.0000000              5.96312166323504e-03     -7.77805862531322e+01    -1.39204747128325e+02    7.46830679347114e+02     
39532600.0000000         3435200.0000000          100.0000000              5.96968012206901e-03     -5.27065818972356e+01    -1.47522954623680e+02    7.57129936940910e+02     
39532700.0000000         3435200.0000000          100.0000000              5.97359417143661e-03     -2.56082820611304e+01    -1.51808860078833e+02    7.59993084170567e+02     
39532800.0000000         3435200.0000000          100.0000000              5.97484111913335e-03     2.99601162861570e-01     -1.51385638516629e+02    7.56288403124947e+02     
39532900.0000000         3435200.0000000          100.0000000              5.97365739516586e-03     2.25887136210535e+01     -1.46853484917217e+02    7.47446112208030e+02     
39533000.0000000         3435200.0000000          100.0000000              5.97045610452969e-03     4.09891696821239e+01     -1.39585997816227e+02    7.36791135117700e+02     
39533100.0000000         3435200.0000000          100.0000000              5.96552553675778e-03     5.72967300500079e+01     -1.30181651414138e+02    7.24757011708974e+02     
39533200.0000000         3435200.0000000          100.0000000              5.95907613739785e-03     7.11715548068672e+01     -1.18903074841908e+02    7.10320832628753e+02     
39533300.0000000         3435200.0000000          100.0000000              5.95142316031421e-03     8.11565120790988e+01     -1.06320779885352e+02    6.93708014546807e+02     
39533400.0000000         3435200.0000000          100.0000000              5.94299178725550e-03     8.67310896925250e+01     -9.34655163878561e+01    6.76364233795703e+02     
39533500.0000000         3435200.0000000          100.0000000              5.93422013019236e-03     8.80631441212887e+01     -8.12922207758537e+01    6.59699258639425e+02     
39533600.0000000         3435200.0000000          100.0000000              5.92548616640712e-03     8.61578896698374e+01     -7.04396951491858e+01    6.44860864864645e+02     
39533700.0000000         3435200.0000000          100.0000000              5.91706290259565e-03     8.20372597426743e+01     -6.11886578219447e+01    6.32437859936074e+02     
39533800.0000000         3435200.0000000          100.0000000              5.90911368594950e-03     7.68579777429697e+01     -5.35583474582501e+01    6.22653421968438e+02     
39533900.0000000         3435200.0000000          100.0000000              5.90169370011082e-03     7.15895434118807e+01     -4.74052207110718e+01    6.15250651096523e+02     
39534000.0000000         3435200.0000000          100.0000000              5.89478253767364e-03     6.67012839816669e+01     -4.24787355852292e+01    6.09602418180873e+02     
39534100.0000000         3435200.0000000          100.0000000              5.88833926618953e-03     6.22398896111271e+01     -3.85436287151535e+01    6.05365238368298e+02     
39534200.0000000         3435200.0000000          100.0000000              5.88231854643932e-03     5.82620991485352e+01     -3.54275909570034e+01    6.02386724121921e+02     
39534300.0000000         3435200.0000000          100.0000000              5.87666696736882e-03     5.48785507111383e+01     -3.29925527187970e+01    6.00534951183121e+02     
39534400.0000000         3435200.0000000          100.0000000              5.87131983103859e-03     5.21816438651622e+01     -3.11134517543254e+01    5.99578164900636e+02     
39534500.0000000         3435200.0000000          100.0000000              5.86620745650176e-03     5.01831214196198e+01     -2.96853497239771e+01    5.99270220436248e+02     
