x(m)                     y(m)                     z(m)                     Magnetic_Potential       Magnetic_x(nT)           Magnetic_y(nT)           Magnetic_z(nT)           
39531600.0000000         3435200.0000000          100.0000000              -4.76913717468107e-03    -2.94690309896462e+00    1.29709622695093e+02     -5.69078088640033e+02    
39531700.0000000         3435200.0000000          100.0000000              -4.76919054672958e-03    3.54820264097520e+00     1.50797583584402e+02     -5.92603282631672e+02    
39531800.0000000         3435200.0000000          100.0000000              -4.76972689908867e-03    6.43724322849736e+00     1.75140651660105e+02     -6.19983160223382e+02    
39531900.0000000         3435200.0000000          100.0000000              -4.77029356307397e-03    3.77835439844217e+00     2.02532020975451e+02     -6.50879582712497e+02    
39532000.0000000         3435200.0000000          100.0000000              -4.77022444489186e-03    -6.61227283951713e+00    2.32253244896266e+02     -6.83999205325389e+02    
39532100.0000000         3435200.0000000          100.0000000              -4.76864597677562e-03    -2.67449010426496e+01    2.62935363535162e+02     -7.17303326564589e+02    
39532200.0000000         3435200.0000000          100.0000000              -4.76450242092276e-03    -5.80066164999371e+01    2.92626034267596e+02     -7.47377512654445e+02    
39532300.0000000         3435200.0000000          100.0000000              -4.75669332504499e-03    -9.97855833268055e+01    3.18779564789898e+02     -7.70359270989936e+02    
39532400.0000000         3435200.0000000          100.0000000              -4.74424722607258e-03    -1.50389407762910e+02    3.38687922984947e+02     -7.83309300983976e+02    
39532500.0000000         3435200.0000000          100.0000000              -4.72642736289508e-03    -2.06625943871068e+02    3.50040238958473e+02     -7.83780907518100e+02    
39532600.0000000         3435200.0000000          100.0000000              -4.70286325130607e-03    -2.64578531685398e+02    3.51665334895921e+02     -7.70162974329159e+02    
39532700.0000000         3435200.0000000          100.0000000              -4.67365377356840e-03    -3.18413133177838e+02    3.43162239863821e+02     -7.41885303849436e+02    
39532800.0000000         3435200.0000000          100.0000000              -4.63947680530824e-03    -3.63351865686705e+02    3.24885607276695e+02     -7.02599383864535e+02    
39532900.0000000         3435200.0000000          100.0000000              -4.60138535231902e-03    -3.96408682857219e+02    2.99250979065476e+02     -6.56625320571275e+02    
39533000.0000000         3435200.0000000          100.0000000              -4.56057231463285e-03    -4.18138443979808e+02    2.68814127672186e+02     -6.08721651315180e+02    
39533100.0000000         3435200.0000000          100.0000000              -4.51809663342944e-03    -4.29640885581954e+02    2.35605229809792e+02     -5.60295564886357e+02    
39533200.0000000         3435200.0000000          100.0000000              -4.47499519768142e-03    -4.30616825495191e+02    2.01560119889805e+02     -5.12920482675214e+02    
39533300.0000000         3435200.0000000          100.0000000              -4.43231259412788e-03    -4.21505757208395e+02    1.68758920182603e+02     -4.69384901033251e+02    
39533400.0000000         3435200.0000000          100.0000000              -4.39095696044182e-03    -4.04502161988318e+02    1.39029413589283e+02     -4.32153134745946e+02    
39533500.0000000         3435200.0000000          100.0000000              -4.35158414610504e-03    -3.82364016705679e+02    1.13458980769500e+02     -4.02603197411791e+02    
39533600.0000000         3435200.0000000          100.0000000              -4.31455559197191e-03    -3.58039407123157e+02    9.23606244805592e+01     -3.80855013168978e+02    
39533700.0000000         3435200.0000000          100.0000000              -4.27997320176242e-03    -3.33791136323755e+02    7.55055493875583e+01     -3.66247436988624e+02    
39533800.0000000         3435200.0000000          100.0000000              -4.24773632592504e-03    -3.11347421778835e+02    6.23631379042902e+01     -3.57561996403371e+02    
39533900.0000000         3435200.0000000          100.0000000              -4.21761128897164e-03    -2.91643404679362e+02    5.22774665706072e+01     -3.53288680530977e+02    
39534000.0000000         3435200.0000000          100.0000000              -4.18931227024152e-03    -2.74792937093631e+02    4.46015748265970e+01     -3.52012132710407e+02    
39534100.0000000         3435200.0000000          100.0000000              -4.16256434102205e-03    -2.60592286563752e+02    3.88119342824931e+01     -3.52894625819485e+02    
