x(m)                     y(m)                     z(m)                     Txx(nT/m)                Tyx(nT/m)                Tzx(nT/m)                Txy(nT/m)                Tyy(nT/m)                Tzy(nT/m)                Txz(nT/m)                Tyz(nT/m)                Tzz(nT/m)                
39533200.0000000         3434900.0000000          100.0000000              5.10027985115266e-02     -1.42551038635754e-01    2.62050248093394e-01     -1.42551038635255e-01    -2.28001123462849e-01    -1.69362004597560e-02    2.62050248092248e-01     -1.69362004604980e-02    1.76998324948685e-01     
39533300.0000000         3434900.0000000          100.0000000              9.10559756093220e-02     -1.16872017340893e-01    2.43623697987739e-01     -1.16872017335904e-01    -2.23711193734237e-01    2.28008492733784e-02     2.43623697990937e-01     2.28008492762939e-02     1.32655218123023e-01     
39533400.0000000         3434900.0000000          100.0000000              1.20824786615339e-01     -8.73560323282866e-02    2.16640272811909e-01     -8.73560323297802e-02    -2.13103240819647e-01    5.41684798344179e-02     2.16640272810134e-01     5.41684798334855e-02     9.22784542072946e-02     
39533500.0000000         3434900.0000000          100.0000000              1.37708361624649e-01     -5.72489840901187e-02    1.84346771582559e-01     -5.72489840690618e-02    -1.96996406654257e-01    7.63550773567400e-02     1.84346771608184e-01     7.63550773753642e-02     5.92880450267935e-02     
39533600.0000000         3434900.0000000          100.0000000              1.42207699901713e-01     -2.96709606073808e-02    1.50431768027630e-01     -2.96709606057868e-02    -1.77320241626960e-01    8.90133844526472e-02     1.50431768028522e-01     8.90133844536685e-02     3.51125417204931e-02     
39533700.0000000         3434900.0000000          100.0000000              1.37324031914594e-01     -6.59936779452016e-03    1.19653488234329e-01     -6.59936776479208e-03    -1.56023943537760e-01    9.45567268029579e-02     1.19653488270057e-01     9.45567268253633e-02     1.86999116125978e-02     
39533800.0000000         3434900.0000000          100.0000000              1.26250723396621e-01     1.12895864476807e-02     9.29810482021184e-02     1.12895864720519e-02     -1.34707260978744e-01    9.45085827908280e-02     9.29810482276021e-02     9.45085828114856e-02     8.45653756985695e-03     
39533900.0000000         3434900.0000000          100.0000000              1.12058438035014e-01     2.39963015181749e-02     7.22024148169400e-02     2.39963015175475e-02     -1.14571788398779e-01    9.14844442767109e-02     7.22024148166936e-02     9.14844442733118e-02     2.51335036671500e-03     
39534000.0000000         3434900.0000000          100.0000000              9.75429331545805e-02     3.31096217800945e-02     5.53366811321464e-02     3.31096217881322e-02     -9.58857789273442e-02    8.64900997517055e-02     5.53366811410434e-02     8.64900997636790e-02     -1.65715422949482e-03    
39534100.0000000         3434900.0000000          100.0000000              8.32412113986489e-02     3.89318632173840e-02     4.25687530391720e-02     3.89318632006170e-02     -7.92337885871098e-02    7.98178703987474e-02     4.25687530214194e-02     7.98178703690026e-02     -4.00742281539624e-03    
39534200.0000000         3434900.0000000          100.0000000              7.02343319290031e-02     4.20057535592535e-02     3.24481468641268e-02     4.20057535626555e-02     -6.46751114724307e-02    7.25209270591381e-02     3.24481468679355e-02     7.25209270672204e-02     -5.55922044309095e-03    
39534300.0000000         3434900.0000000          100.0000000              5.83531898134779e-02     4.30942874252344e-02     2.48349551333795e-02     4.30942874182756e-02     -5.23105344495062e-02    6.50840497829944e-02     2.48349551235994e-02     6.50840497720215e-02     -6.04265536371920e-03    
39534400.0000000         3434900.0000000          100.0000000              4.80108350276889e-02     4.24386710673661e-02     1.92127598163724e-02     4.24386710671484e-02     -4.19263655599031e-02    5.80081941335020e-02     1.92127598155245e-02     5.80081941329895e-02     -6.08446946837189e-03    
39534500.0000000         3434900.0000000          100.0000000              3.87362337824543e-02     4.05828979407053e-02     1.45689995197643e-02     4.05828979364835e-02     -3.33580725366353e-02    5.14934572115725e-02     1.45689995146351e-02     5.14934572078852e-02     -5.37816124788766e-03    
39534600.0000000         3434900.0000000          100.0000000              3.08728038562817e-02     3.81846279064883e-02     1.19116696563895e-02     3.81846279106096e-02     -2.65124308448595e-02    4.60288449620469e-02     1.19116696633966e-02     4.60288449672800e-02     -4.36037300265439e-03    
39534700.0000000         3434900.0000000          100.0000000              2.41514472341830e-02     3.55261994312523e-02     9.63940335474483e-03     3.55261994282150e-02     -2.10272432860279e-02    4.12796823352958e-02     9.63940335141121e-03     4.12796823265126e-02     -3.12420394133787e-03    
39534800.0000000         3434900.0000000          100.0000000              1.82814022551085e-02     3.27268533338139e-02     8.08827742748993e-03     3.27268533131016e-02     -1.67403106990169e-02    3.72859829047953e-02     8.08827740570514e-03     3.72859828551852e-02     -1.54109155356549e-03    
39534900.0000000         3434900.0000000          100.0000000              1.26393646788546e-02     2.97575247733545e-02     7.57921513707238e-03     2.97575247416369e-02     -1.34019149313432e-02    3.40048339126105e-02     7.57921510972063e-03     3.40048338302628e-02     7.62550253963943e-04     
39535000.0000000         3434900.0000000          100.0000000              8.36387283834365e-03     2.70314670316166e-02     8.29552255941656e-03     2.70314670316877e-02     -1.06800514597162e-02    3.17323342810006e-02     8.29552256012170e-03     3.17323342804645e-02     2.31617862231210e-03     
39531000.0000000         3435000.0000000          100.0000000              5.36860348232845e-02     1.49435908419362e-02     -6.74383790352926e-02    1.49435908152532e-02     -4.58729688236936e-02    -1.99587778300206e-03    -6.74383790554195e-02    -1.99587773182449e-03    -7.81306600202588e-03    
39531100.0000000         3435000.0000000          100.0000000              5.37386980237532e-02     1.96508636292934e-02     -8.14321507809354e-02    1.96508636246843e-02     -5.29419385527674e-02    -7.38721172557820e-03    -8.14321507841865e-02    -7.38721171815569e-03    -7.96759466159357e-04    
